Order ID,Shipping Date,Carrier,Tracking Number,Latitude,Longitude,Shipping Status
ORD-9FACDDE6,2025-06-18 12:15:14,日本郵便,日本107660677,34.318576,132.39013,不在票投函
ORD-8D95C59D,2025-05-19 08:07:05,久留米運送,久留322336999,34.791638,135.550948,配送中
ORD-7C720053,2025-03-15 21:40:11,トナミ運輸,トナ528001898,33.536621,130.377528,配達完了
ORD-0F31A626,2025-08-15 22:19:14,名鉄運輸,名鉄267679327,33.511481,130.314461,配送準備中
ORD-C43058D9,2025-01-16 12:03:27,第一貨物,第一230004274,35.50249,133.009621,不在票投函
ORD-0D52FCE1,2025-03-20 15:48:30,福山通運,福山149608134,38.320682,140.890145,配送遅延
ORD-3982DAD7,2025-06-26 14:51:37,ヤマト運輸,ヤマ694938470,34.713303,135.54425,配送準備中
ORD-8486A229,2025-04-14 20:34:11,日本通運,日本543529865,26.271985,127.62575,配達完了
ORD-22670F31,2025-07-07 09:03:10,トナミ運輸,トナ342484193,38.28782,140.786806,不在票投函
ORD-1411B4BE,2025-03-25 20:55:47,日本通運,日本295548772,42.986085,141.377332,配送準備中
ORD-EADD5DE8,2025-05-11 04:19:15,日本郵便,日本965742940,36.618577,136.631874,配送準備中
ORD-F27DB5D3,2024-09-12 09:30:11,トナミ運輸,トナ544758038,38.316698,140.77374,配達完了
ORD-272B4D20,2024-11-21 16:06:02,日本郵便,日本307521594,38.344924,140.85746,配達完了
ORD-20945BBF,2024-12-10 01:16:28,福山通運,福山722745015,35.649642,139.56739,配達完了
ORD-5BC9B579,2024-09-25 18:14:38,日本郵便,日本237981293,26.285149,127.704009,配送遅延
ORD-5893A483,2024-11-25 10:50:33,第一貨物,第一845282268,38.200843,140.966406,配達完了
ORD-B54959A6,2024-10-06 11:31:47,第一貨物,第一661179491,35.484328,133.119392,配送遅延
ORD-25709E34,2024-12-09 21:33:31,佐川急便,佐川530617934,36.634273,136.576327,配送準備中
ORD-A48DB123,2025-04-17 02:31:14,佐川急便,佐川200519719,34.645312,135.546964,配送準備中
ORD-4DD57FF2,2025-01-07 12:21:19,福山通運,福山853464824,36.524251,136.629452,配達完了
ORD-73AD71F2,2025-01-11 11:04:56,第一貨物,第一332823221,34.776761,135.589347,不在票投函
ORD-F8E34A7D,2024-11-10 23:26:05,第一貨物,第一866606437,42.982682,141.425171,配送準備中
ORD-C9706F06,2024-12-06 21:29:58,トナミ運輸,トナ531952678,35.407935,133.131539,配達完了
ORD-C6E60C07,2025-08-07 15:47:45,ヤマト運輸,ヤマ682771923,38.263317,140.932278,配送中
ORD-8D8218D3,2025-04-21 14:25:06,ヤマト運輸,ヤマ231260651,34.780328,135.482963,配送準備中
ORD-11D05174,2025-04-08 10:32:59,ヤマト運輸,ヤマ515487092,34.634959,135.577668,配送準備中
ORD-FD7C742F,2024-10-28 00:14:55,日本郵便,日本585261332,33.596852,130.473117,配送遅延
ORD-41E7A114,2025-05-24 02:49:59,佐川急便,佐川588635270,35.087423,136.855478,配達完了
ORD-9D60F425,2024-10-28 04:39:56,久留米運送,久留508752731,38.359204,140.853778,配送準備中
ORD-FB8099D0,2025-01-11 20:06:14,佐川急便,佐川711749789,34.726841,135.572717,配達完了
ORD-556382AC,2025-08-23 21:39:26,日本郵便,日本938749582,34.42986,132.497222,不在票投函
ORD-B8B00F78,2025-04-20 16:13:09,日本郵便,日本412360017,34.618294,135.576314,配送中
ORD-28D0B665,2025-03-19 10:41:39,日本郵便,日本425297455,34.760943,135.452996,不在票投函
ORD-F598D116,2025-05-04 21:58:17,福山通運,福山807465123,34.473826,132.384199,配送遅延
ORD-74F086FD,2025-06-30 12:20:08,日本郵便,日本345698449,35.705044,139.729211,配達完了
ORD-390472A1,2025-06-06 04:18:59,佐川急便,佐川955336814,34.678246,135.504543,不在票投函
ORD-E87787FA,2024-11-18 02:08:43,西濃運輸,西濃656755997,35.50549,132.970159,配達完了
ORD-33763A05,2024-09-11 09:36:32,日本郵便,日本355621382,43.14807,141.331414,配達完了
ORD-EDBC7131,2024-12-20 12:58:45,佐川急便,佐川909134314,26.169725,127.630624,配送中
ORD-01772C7B,2024-12-08 04:09:56,西濃運輸,西濃205816736,34.435713,132.409367,配達完了
ORD-FCEFC5C2,2024-11-11 12:19:39,トナミ運輸,トナ136220238,38.297315,140.826999,配送準備中
ORD-FA8BD21A,2025-08-09 22:26:26,西濃運輸,西濃610891795,34.77997,135.530672,配達完了
ORD-9CAC4649,2025-07-16 17:07:44,トナミ運輸,トナ897607688,33.616947,130.453083,配送準備中
ORD-2125F295,2024-12-22 06:12:26,名鉄運輸,名鉄742765037,35.703995,139.657406,配送遅延
ORD-DBDB7E50,2025-04-28 07:05:36,日本通運,日本586264509,34.296003,132.466786,配送遅延
ORD-9C4F32C3,2025-01-18 17:25:18,ヤマト運輸,ヤマ394516095,34.7328,135.466842,配達完了
ORD-9FF61366,2025-07-30 14:40:08,福山通運,福山624473194,43.131763,141.294989,配達完了
ORD-979342C5,2025-02-14 17:42:40,西濃運輸,西濃498486436,35.43746,133.037004,配送遅延
ORD-ED691EE0,2024-12-04 03:10:28,ヤマト運輸,ヤマ200694663,34.385693,132.42735,配達完了
ORD-A03A70D4,2024-11-30 11:43:09,西濃運輸,西濃182144667,26.271804,127.643154,配達完了
ORD-F46575A1,2025-03-19 01:17:36,久留米運送,久留330067120,26.116108,127.761587,配送準備中
ORD-38F30C12,2024-12-04 08:29:31,日本通運,日本767200215,34.396702,132.494606,配達完了
ORD-43C1B62C,2025-04-01 12:07:28,ヤマト運輸,ヤマ892154746,35.415394,133.063532,配達完了
ORD-2EB80F5F,2025-07-24 12:33:43,日本通運,日本134906592,35.41372,133.13494,配送中
ORD-3EC1DEFF,2025-01-23 02:20:39,佐川急便,佐川669767805,43.053583,141.277564,不在票投函
ORD-4E0B8691,2024-11-18 13:10:03,ヤマト運輸,ヤマ525983645,33.638602,130.422969,配送中
ORD-EC9CD0DC,2025-08-24 19:40:11,トナミ運輸,トナ782306694,34.611777,135.471566,配達完了
ORD-F927A149,2025-02-28 04:24:11,トナミ運輸,トナ290591096,26.21496,127.757588,配送遅延
ORD-8373E4AB,2024-09-28 19:21:57,名鉄運輸,名鉄672026181,35.654951,139.710112,配送準備中
ORD-2CF43F26,2024-09-18 20:47:24,佐川急便,佐川261161181,34.68577,135.518814,配送遅延
ORD-86A25CA1,2024-10-06 15:04:34,名鉄運輸,名鉄259472197,35.123433,136.997714,配送中
ORD-BE3722C3,2025-04-14 02:33:00,トナミ運輸,トナ621887619,26.139801,127.579662,配送中
ORD-AD9AEE92,2025-06-15 00:47:12,日本通運,日本912466595,34.309957,132.390273,不在票投函
ORD-42A5C048,2025-02-01 09:10:15,佐川急便,佐川380467444,34.631596,135.560531,不在票投函
ORD-CEB0EFEE,2024-09-23 20:09:33,第一貨物,第一302538800,35.12181,136.936712,配送中
ORD-DDA7CB3E,2025-01-17 15:00:26,第一貨物,第一373138733,35.26314,136.826846,配達完了
ORD-C6713737,2025-08-24 07:17:51,ヤマト運輸,ヤマ754125163,43.001227,141.334757,配送中
ORD-4A738C14,2025-03-10 07:31:27,福山通運,福山220187500,38.298097,140.860469,配送遅延
ORD-35D4E016,2025-08-20 04:31:19,久留米運送,久留408688331,35.149976,137.002107,配達完了
ORD-A28D71D8,2025-07-10 00:57:10,日本郵便,日本811986190,38.213445,140.943381,配送準備中
ORD-02F884B7,2024-09-05 21:28:46,久留米運送,久留490988120,38.306017,140.917238,配送遅延
ORD-65F96212,2025-05-19 01:24:25,第一貨物,第一752615136,35.388447,133.009677,配送中
ORD-7AD51A3F,2025-05-04 20:36:11,西濃運輸,西濃594277976,35.413347,132.980392,配送遅延
ORD-4DAAB959,2025-03-15 04:09:15,佐川急便,佐川553414886,34.619232,135.432018,配送中
ORD-CB295DF5,2024-12-03 20:09:58,佐川急便,佐川209497452,34.641576,135.443795,配送準備中
ORD-5CDF98D7,2025-04-17 00:37:25,第一貨物,第一452373344,33.564991,130.454689,配送準備中
ORD-A47D26F4,2024-10-07 07:42:04,福山通運,福山534871542,35.399484,133.055654,配達完了
ORD-B8C530B0,2025-02-05 23:17:26,佐川急便,佐川283105861,33.518287,130.447557,配送中
ORD-C60F1957,2025-02-08 20:54:42,日本郵便,日本135841544,36.558719,136.606454,配達完了
ORD-330DAA62,2025-08-13 21:43:02,第一貨物,第一163602551,35.404581,133.067553,配送準備中
ORD-B763791A,2025-07-12 12:37:57,第一貨物,第一112817750,36.656889,136.668971,不在票投函
ORD-CF7B355A,2024-12-04 14:08:53,西濃運輸,西濃615100741,35.377591,132.995638,配送準備中
ORD-CA27522C,2025-02-27 22:18:06,名鉄運輸,名鉄299505240,35.156657,136.817417,配送準備中
ORD-0A06F823,2024-11-03 17:53:03,久留米運送,久留324562610,26.125921,127.600542,配送中
ORD-E73CEE62,2025-07-24 21:53:53,第一貨物,第一683531840,43.018191,141.366614,配送遅延
ORD-8F2BED8A,2025-07-15 14:01:53,西濃運輸,西濃680155897,35.615668,139.67789,不在票投函
ORD-0FEBEF57,2024-12-18 08:23:42,西濃運輸,西濃683825326,34.612844,135.560894,不在票投函
ORD-94190756,2025-04-16 07:02:39,福山通運,福山717254336,43.043338,141.30814,配達完了
ORD-20FBA983,2025-04-07 09:08:42,福山通運,福山133472318,26.283664,127.755666,配送準備中
ORD-30CEBCDA,2024-10-21 08:23:06,日本通運,日本349792929,38.232582,140.958065,配送遅延
ORD-04A1DD7E,2025-06-01 06:28:32,西濃運輸,西濃383254117,36.606609,136.690027,配送遅延
ORD-1BB45F08,2025-03-11 01:11:47,名鉄運輸,名鉄970939556,35.19443,136.955806,配送遅延
ORD-629EDF13,2025-06-08 03:15:44,ヤマト運輸,ヤマ965405947,35.227332,136.913588,不在票投函
ORD-281C057D,2025-03-10 18:21:03,久留米運送,久留694137381,35.273806,136.909689,配達完了
ORD-4C166313,2024-08-27 22:10:38,第一貨物,第一175323974,38.253434,140.828357,配達完了
ORD-61782691,2024-12-28 17:00:31,西濃運輸,西濃332319991,35.66545,139.553527,不在票投函
ORD-C496C3C7,2024-09-05 19:19:48,第一貨物,第一165341425,34.327933,132.536384,配送準備中
ORD-677C7B12,2025-07-30 21:47:12,久留米運送,久留946932218,34.737427,135.541692,配送準備中
ORD-20FE8E8A,2025-07-16 13:41:44,日本通運,日本461807393,33.495512,130.350681,配送中
ORD-53BEFAE3,2025-06-30 10:36:41,佐川急便,佐川304346964,43.101236,141.292973,不在票投函
ORD-D6783894,2024-12-20 15:37:29,佐川急便,佐川600913823,35.730991,139.593282,配送遅延
ORD-C1B90D93,2024-09-21 19:12:56,西濃運輸,西濃129508101,34.304805,132.46299,配送中
ORD-8E9F9928,2025-07-12 07:28:23,ヤマト運輸,ヤマ407944554,38.271672,140.778417,配送中
ORD-044475D2,2025-08-12 09:43:54,佐川急便,佐川519998167,35.247125,136.896353,配達完了
ORD-12F5BE13,2024-09-27 21:26:59,福山通運,福山563425983,36.515903,136.652236,配送中
ORD-729416A5,2025-02-21 14:47:38,日本通運,日本165090087,34.474305,132.522196,配送遅延
ORD-1FBA26B3,2024-09-25 21:49:19,久留米運送,久留125852996,38.311501,140.813169,不在票投函
ORD-98EDBCF0,2025-06-03 13:48:06,佐川急便,佐川238926750,35.739089,139.747622,配送準備中
ORD-336B38FC,2025-06-05 11:30:39,日本通運,日本611837623,36.624441,136.750539,配送準備中
ORD-8C552FB4,2024-10-18 10:48:33,西濃運輸,西濃436914811,38.170435,140.965101,配送準備中
ORD-6C0595A2,2025-02-19 17:14:53,久留米運送,久留909096040,34.393221,132.515446,配達完了
ORD-4A6823B0,2025-03-16 20:15:56,日本通運,日本567545130,38.358492,140.85874,配送遅延
ORD-C35D7AB0,2024-12-07 04:42:57,佐川急便,佐川985162340,26.165108,127.778411,配送準備中
ORD-19B7F12D,2025-07-12 06:45:23,福山通運,福山159626866,38.349037,140.964149,配達完了
ORD-183C64A3,2025-02-01 17:42:51,日本通運,日本550786058,26.271913,127.635322,配送遅延
ORD-C58648E4,2024-11-17 19:27:01,日本郵便,日本152079947,34.739569,135.531498,配達完了
ORD-255766B7,2025-03-15 00:28:19,久留米運送,久留829665001,33.497487,130.497894,配送準備中
ORD-404F93DC,2025-05-20 09:51:33,福山通運,福山773956549,34.654344,135.408954,配送遅延
ORD-F3E5CC60,2024-11-07 22:26:13,トナミ運輸,トナ776541475,26.116221,127.593632,配達完了
ORD-6C0E878F,2024-12-24 04:20:05,福山通運,福山565352539,38.230066,140.820877,配送準備中
ORD-7BF5DF47,2025-08-23 22:48:22,ヤマト運輸,ヤマ415463372,35.5807,139.692942,配達完了
ORD-F1BFF52F,2025-04-26 06:30:57,日本通運,日本370496308,35.436092,133.056285,配送中
ORD-93ED85F3,2025-02-04 04:25:25,名鉄運輸,名鉄969439563,26.182601,127.651456,配送準備中
ORD-1F1EE11F,2025-03-05 02:43:26,名鉄運輸,名鉄723803290,35.372094,133.007004,不在票投函
ORD-514FD191,2024-10-10 18:16:26,日本通運,日本576186386,34.297404,132.548538,配送遅延
ORD-B26378F9,2024-11-16 12:08:14,第一貨物,第一746863028,38.315896,140.787235,配送遅延
ORD-30AD02B8,2024-12-27 18:41:48,日本郵便,日本816816673,34.752224,135.479111,配送中
ORD-905F19CD,2025-04-02 20:38:46,日本通運,日本164293826,36.596907,136.630227,配達完了
ORD-BC068E19,2024-11-22 11:27:49,ヤマト運輸,ヤマ431008341,33.51217,130.489717,不在票投函
ORD-8C2098A2,2024-11-20 21:00:01,佐川急便,佐川933097589,26.163745,127.705591,配達完了
ORD-3FA474E5,2024-09-24 13:22:37,第一貨物,第一922744715,34.460919,132.519012,配送準備中
ORD-D6F76871,2025-04-18 10:29:48,ヤマト運輸,ヤマ841720701,33.645779,130.332962,配送中
ORD-70E0EFE5,2024-11-18 01:13:00,久留米運送,久留592382131,34.379662,132.387732,配達完了
ORD-370E6790,2025-07-25 06:55:50,佐川急便,佐川543771939,36.512696,136.615105,不在票投函
ORD-B7406D08,2025-07-09 14:57:22,トナミ運輸,トナ403714737,38.320416,140.898127,配送遅延
ORD-F205C9C8,2024-09-27 12:11:28,日本郵便,日本369826188,42.981,141.379755,配送中
ORD-26CB6D95,2024-11-22 08:23:23,名鉄運輸,名鉄929621154,34.767062,135.573535,配送中
ORD-A63B210A,2025-05-03 05:22:16,第一貨物,第一779372673,35.135871,136.955776,配達完了
ORD-CC007363,2024-11-18 16:45:14,第一貨物,第一864913582,35.507104,132.982024,配送遅延
ORD-D555F5CC,2024-10-16 21:03:27,日本通運,日本717073859,34.737217,135.455531,配達完了
ORD-88A3050D,2025-08-06 05:50:01,久留米運送,久留428295924,35.754014,139.665186,配達完了
ORD-B3A61183,2025-03-25 13:48:49,日本通運,日本916838872,36.512914,136.637635,配送遅延
ORD-A5C66C18,2025-02-15 18:26:07,福山通運,福山701671124,36.560766,136.560257,不在票投函
ORD-CE937765,2025-06-14 07:37:00,西濃運輸,西濃613698025,34.418516,132.490015,不在票投函
ORD-5B274B0D,2025-06-19 15:28:30,福山通運,福山714361904,26.297447,127.669753,配送準備中
ORD-90E90ED1,2024-11-06 00:36:08,西濃運輸,西濃394404938,35.151622,136.919181,配送遅延
ORD-A88FC593,2024-10-03 23:58:08,佐川急便,佐川554680773,35.250836,136.92093,配達完了
ORD-4ABA926B,2025-02-02 14:50:40,トナミ運輸,トナ966221185,26.198906,127.71804,不在票投函
ORD-B1556DF1,2025-02-02 21:33:51,ヤマト運輸,ヤマ843106907,35.360023,132.974698,配送中
ORD-AE5357E7,2025-02-14 17:06:31,日本郵便,日本508610192,42.989436,141.362273,配送遅延
ORD-343EE8AF,2025-05-20 02:23:16,佐川急便,佐川581384718,34.458234,132.454543,配送準備中
ORD-FFCF1EA4,2025-05-02 19:41:38,日本通運,日本551465782,26.176112,127.602555,配達完了
ORD-89627BD5,2025-08-24 22:50:55,トナミ運輸,トナ887760330,33.649701,130.448437,不在票投函
ORD-E84E7FBA,2024-10-04 12:57:35,ヤマト運輸,ヤマ810359596,43.135344,141.403919,不在票投函
ORD-BC6A8726,2025-01-23 06:28:51,佐川急便,佐川391726791,35.647288,139.640356,不在票投函
ORD-EBC5EDB7,2024-12-28 05:19:44,日本郵便,日本492119437,35.715642,139.622295,配達完了
ORD-5D25C300,2025-07-08 08:45:09,久留米運送,久留402982335,35.70418,139.707148,配送遅延
ORD-D6A0030B,2024-11-29 05:26:35,日本通運,日本592086159,38.194637,140.847289,配送中
ORD-AFD59468,2024-11-06 22:50:47,福山通運,福山386814201,36.515717,136.623926,配達完了
ORD-AEC24F1D,2025-02-11 00:16:09,第一貨物,第一519163327,34.327404,132.520915,配達完了
ORD-991BAAC6,2025-01-28 06:44:21,ヤマト運輸,ヤマ860834478,38.173477,140.882459,配達完了
ORD-B6A17AB5,2024-12-07 02:33:06,ヤマト運輸,ヤマ836399855,26.14451,127.764907,不在票投函
ORD-8379A4BF,2024-11-26 15:29:25,名鉄運輸,名鉄771118212,35.176461,136.920957,配送遅延
ORD-2231E75F,2025-08-01 18:49:46,第一貨物,第一164629850,36.578114,136.61114,配送中
ORD-B0512824,2025-02-09 00:22:17,トナミ運輸,トナ977146737,34.28987,132.43725,不在票投函
ORD-14D501AF,2025-07-12 05:55:37,久留米運送,久留680149351,35.733792,139.58778,不在票投函
ORD-9FE6D51B,2025-03-18 00:49:23,福山通運,福山383685675,36.496396,136.737494,配送遅延
ORD-808C7611,2024-09-20 03:07:15,福山通運,福山311039646,38.177437,140.961501,配送遅延
ORD-2BA2EA00,2025-08-25 10:54:46,佐川急便,佐川564234513,38.212987,140.868546,不在票投函
ORD-9516BE64,2025-07-02 00:43:06,名鉄運輸,名鉄374929944,35.137139,136.827834,配達完了
ORD-260ABFB1,2025-08-18 10:19:57,佐川急便,佐川729662583,34.671618,135.591269,不在票投函
ORD-414DF443,2025-08-02 21:55:24,日本通運,日本123307572,26.272963,127.647821,配送中
ORD-01905BC2,2025-07-03 15:23:14,ヤマト運輸,ヤマ206416947,34.406588,132.425037,配送遅延
ORD-3BC1B44B,2024-10-29 06:04:30,名鉄運輸,名鉄166548814,26.237376,127.607585,配送準備中
ORD-3EDA84C8,2025-02-22 11:44:32,ヤマト運輸,ヤマ122693301,36.474562,136.599752,配達完了
ORD-8B4AE1D6,2024-11-18 12:28:40,久留米運送,久留119738299,35.1232,136.960757,配達完了
ORD-54968BE7,2025-01-20 16:40:09,日本郵便,日本992496401,34.400144,132.498522,配達完了
ORD-B2366133,2024-09-21 01:25:12,福山通運,福山204871356,36.462656,136.695941,配送遅延
ORD-68554760,2025-01-16 15:53:26,日本通運,日本755839861,35.367265,133.079572,配送中
ORD-61E74A7D,2025-08-24 08:50:22,福山通運,福山551540604,42.972085,141.260534,配送準備中
ORD-F5D0493B,2024-12-05 05:59:43,日本郵便,日本694099089,26.311099,127.760336,配達完了
ORD-81B5AFE3,2025-06-11 02:49:19,日本通運,日本733640260,38.187378,140.785822,配送中
ORD-5DA02EBE,2025-02-08 08:08:04,西濃運輸,西濃987339907,33.602976,130.482886,配送準備中
ORD-D7BAC054,2025-01-29 16:34:29,久留米運送,久留513145556,34.421295,132.484561,配達完了
ORD-DD540400,2025-08-11 04:18:29,西濃運輸,西濃716282945,43.129618,141.358425,配送中
ORD-B06210DA,2025-08-25 01:11:38,日本通運,日本825780401,43.141523,141.35288,配達完了
ORD-F7881D38,2025-03-20 00:22:24,西濃運輸,西濃609001700,26.160664,127.704762,配達完了
ORD-F3234F57,2025-05-15 05:11:45,西濃運輸,西濃110446067,35.25634,136.90158,配送中
ORD-0714DB4F,2024-10-27 01:29:11,佐川急便,佐川587423682,35.38457,132.965524,配送中
ORD-3AF024F9,2024-12-14 17:13:15,ヤマト運輸,ヤマ454341832,38.207774,140.854304,配送遅延
ORD-86D1529E,2025-08-18 07:49:35,日本郵便,日本398415148,43.099315,141.387491,配送中
ORD-4E90410D,2025-03-30 12:54:01,第一貨物,第一254171057,34.476134,132.499039,不在票投函
ORD-F749800F,2025-03-16 01:47:55,西濃運輸,西濃887913698,36.637837,136.6619,配達完了
ORD-D224001A,2025-05-31 23:29:45,久留米運送,久留185102807,35.252506,137.000105,不在票投函
ORD-64B8677C,2024-09-17 12:34:37,名鉄運輸,名鉄623548923,26.163822,127.736891,不在票投函
ORD-D42B1EC7,2025-03-31 08:33:24,佐川急便,佐川155844451,42.967802,141.32278,配送中
ORD-3A086E5A,2025-03-01 18:04:56,トナミ運輸,トナ766180346,34.347999,132.52227,配達完了
ORD-E3322667,2025-07-03 02:32:32,日本通運,日本621921154,33.505262,130.404459,配送中
ORD-7E48C37B,2024-10-23 00:30:49,福山通運,福山121676399,42.979699,141.426063,不在票投函
ORD-8FB7649D,2025-08-17 10:32:45,佐川急便,佐川708574141,34.62063,135.557418,配達完了
ORD-D32DEFD5,2024-09-25 21:02:06,西濃運輸,西濃590045976,35.773876,139.586306,配達完了
ORD-59A505FF,2024-11-05 08:32:53,名鉄運輸,名鉄207041853,43.088265,141.291304,配達完了
ORD-416AE3DE,2025-04-02 07:24:29,ヤマト運輸,ヤマ184769405,35.385603,132.992405,配送準備中
ORD-BA7DABF7,2025-05-04 11:50:17,佐川急便,佐川132588590,34.737555,135.504531,配達完了
ORD-B46A3E4A,2024-11-23 07:55:21,第一貨物,第一341858271,34.756222,135.49773,配送準備中
ORD-797628CB,2024-10-14 08:30:39,佐川急便,佐川813051822,26.167446,127.617312,不在票投函
ORD-C1D92BB5,2025-07-18 18:43:52,トナミ運輸,トナ129816375,26.312185,127.580562,配送準備中
ORD-9569FEED,2024-11-29 08:07:07,第一貨物,第一328825128,26.155015,127.745964,不在票投函
ORD-C384CB6A,2025-04-06 02:54:02,ヤマト運輸,ヤマ189579457,35.595741,139.726527,配達完了
ORD-2D7E0E97,2025-04-13 04:05:53,日本郵便,日本544240761,35.09685,136.96638,配送遅延
ORD-B1573322,2025-01-30 07:31:48,日本郵便,日本271037935,42.96731,141.246917,配送準備中
ORD-692AD556,2025-03-28 04:08:33,名鉄運輸,名鉄509383410,38.222185,140.907892,不在票投函
ORD-F0821DA7,2025-03-08 00:12:40,ヤマト運輸,ヤマ283685909,38.339235,140.96457,配達完了
ORD-DF5EB8BB,2025-08-02 22:46:30,日本通運,日本682489268,35.743108,139.716034,配送準備中
ORD-AF5F6499,2024-11-09 01:35:23,名鉄運輸,名鉄863666903,35.77498,139.556809,配達完了
ORD-80AA7E65,2025-05-16 09:49:58,ヤマト運輸,ヤマ189019140,38.317472,140.953945,配送準備中
ORD-AC58C05B,2024-11-25 14:20:30,日本通運,日本756321537,34.296924,132.548125,不在票投函
ORD-1495AEC5,2025-01-20 18:45:59,久留米運送,久留938011648,33.650168,130.442257,配達完了
ORD-FA4CF5E3,2025-05-04 05:04:01,第一貨物,第一620480230,35.431104,132.960537,配達完了
ORD-9B216208,2024-12-15 21:57:21,名鉄運輸,名鉄456790395,34.315234,132.449739,配送準備中
ORD-C0413859,2024-12-25 19:18:19,福山通運,福山281613752,35.143423,136.979583,配送準備中
ORD-B5848CE2,2025-05-30 09:28:10,久留米運送,久留382879353,36.544906,136.578526,不在票投函
ORD-5C2A57FD,2024-09-24 02:55:04,福山通運,福山213702589,36.493772,136.712035,配送準備中
ORD-95A2C259,2025-02-15 12:45:49,佐川急便,佐川422239915,36.573515,136.714347,不在票投函
ORD-52185E58,2025-08-25 03:40:45,日本通運,日本697363992,35.76565,139.663804,配達完了
ORD-0A4B0319,2025-08-25 07:04:47,ヤマト運輸,ヤマ697706787,35.161799,136.954203,不在票投函
ORD-1521E303,2024-09-28 09:11:13,日本通運,日本150077536,43.018366,141.304838,配達完了
ORD-F484EEF0,2024-11-14 07:17:50,日本郵便,日本770155753,43.117351,141.396644,不在票投函
ORD-92EA537B,2024-12-07 05:58:19,ヤマト運輸,ヤマ669120533,36.474017,136.62591,配送準備中
ORD-B6B2CEC6,2025-08-01 10:08:07,日本通運,日本979544254,34.639166,135.536116,不在票投函
ORD-5D9FD78A,2025-07-19 08:24:38,日本郵便,日本540993325,36.512313,136.680085,不在票投函
ORD-F74B531F,2025-07-12 18:29:10,福山通運,福山253523120,42.976754,141.392024,配送遅延
ORD-0FC0AA37,2025-01-08 05:22:12,福山通運,福山260919121,35.665257,139.62673,配送遅延
ORD-B6BF7D48,2024-10-23 03:15:27,第一貨物,第一801562752,35.585018,139.657275,配達完了
ORD-3B859656,2025-06-27 04:46:38,トナミ運輸,トナ486490447,35.438182,133.084939,配送中
